,title,reviews,published_dates,user_name,user_location,user_ratings,trip_details,would_recommed_to_others
875,"""Extremely poor communication""",  Brussels to London. We were not given a seat number upon check in and were left waiting outside the gate for the boarding passes to be re printed without any explanation. Everyone else with a boarding pass was boarding whilst about 50% were just looking at the operators thinking what is going on. Extremely poor communication from the airline to and from the airport operators. , 24th October 2019,Marilena Dinca ,United Kingdom,3,"AircraftA320
Type Of TravellerBusiness
Seat TypeEconomy Class
RouteBrussels to London
Date FlownOctober 2019",n
876,"""The seat was uncomfortable""","  My flight from London to Singapore in premium economy was the worst I have experienced. The seat was uncomfortable, the flight tracker failed after two hours, the breakfast prior to arrival in Singapore (scrambled egg) was like rubber. They ran out of cups and so my wife and I had no coffee, tea or drink with our breakfast. I used the call button to get some attention and no one came to answer my call even after waiting more than 30 minutes. Eventually I made contact with a passing cabin crew member and advised that we had not had a drink and was told that they would come back. I never saw the crew member again. ", 20th October 2019,N Keale ,Australia,1,"AircraftBoeing 777
Type Of TravellerCouple Leisure
Seat TypePremium Economy
RouteLondon to Singapore
Date FlownOctober 2019",n
877,"""did not mention it was normal coffee""","  Kuala Lumpur to Glasgow via London. The service started, first some drinks. On my aisle was a female attendant and a young male attendant.  I asked for an ale, the attendant pretended not to understand what I was asking for. I repeated many times the word ale with my Spanish accent, but she still did not catch it. The male attendant said “like an IPA”, I answered “yes”.  I changed to a beer and she offered me Amstel or Heineken, I chose Amstel and had to ask for ice  to make it drinkable. When the service was finished the female attendant collected the empty bottles and cans and glasses but skipped me. For the meal I chose the beef and asked for a beer. The male attendant realized that the empty can was still there, took it. With the food on my and no drinks I started to eat, after ten minutes it was obvious that the beer was not coming, so I stopped another attendant going to Business class and he came back with an option of Tiger or Heineken lager. The female attendant offered me coffee but she did not mention it was normal coffee and in the menu it said that decaf was available if you specifically request that. ABreakfast I was offered tea or coffee (even decaf), I accepted, but there was no milk or cream for me.", 20th October 2019,A Tarneyso ,Argentina,2,"AircraftBoeing 787
Type Of TravellerSolo Leisure
Seat TypePremium Economy
RouteKuala Lumpur to Glasgow via London
Date FlownOctober 2019",n
878,"""crew were very attentive"""," London Heathrow to Seychelles. Really great flight, boarding was very quick, the flight was full, seats great 07 A/B Good inflight entertainment, plenty of choices. Food was good as we already pre-ordered our meals, my beef was well done just how I like it. After a late 30 minute delay we landed on time into Seychelles, the crew were very attentive, lots of very demanding passengers. All in all, a good flight after 7 hours of sleep", 20th October 2019,25 reviewsMark Ellwood ,United Kingdom,10,"AircraftBoeing 787-900
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteLondon Heathrow to Seychelles
Date FlownOctober 2019",y
879,"""45 minutes before my bag came""","  Edinburgh to London Heathrow. I have no problems with any of the flight crew or service while flying, everything on the plane was fine. After the flight landed, I rushed to the baggage claim because my wife and I had another flight out of London and only had an hour to make it. Even though we could see the plane and watch the baggage crew drive the bags over, it took 45 minutes before my bag came through. The baggage claim service desk turned away 30 other furious customers until a manager could arrive, by which time I was running to catch my next flight on a different airline, which I missed. Turns out the next flight home on our next airline wasn’t for another 6 days. Hoping that British Airways would help us in some way, we went to their horrendous customer service desk where an agent, basically told us to pound sand. It ended up costing my wife and I almost $3000 for new tickets to get home, spent the next 20 hours in the airport and British Airways refused to offer us as a meal voucher. We will never use this airline again.", 19th October 2019,Cameron Sprincz ,United States,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteEdinburgh to London Heathrow
Date FlownOctober 2019",n
880,"""comfortable seats"""," Amman to London. This is a nice aircraft, with comfortable seats, and a very soft landing. This aircraft flies from Amman airport at 8 am local time and arrives in only 5 hours to London. This is a very good product.", 16th October 2019,Salem Ghawi ,Jordan,8,"AircraftA321
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteAmman to London
Date FlownSeptember 2019",y
881,"""glorified budget airline""", London to Athens. British Airways is a glorified budget airline. A 3.5-hour flight and back to Athens and no food or drinks provided. Ask for a cup of water and they charge you a ridiculous price. An M&S inflated price sandwich is the 'meal'. No entertainment options either. No USB charging on the seat as well. Any reputable airline for a flight of this length provides this options in 2019. Yet they charged full-service airline prices. So there is a mismatch. Flew Aegean on the same route and a full meal and drinks are provided., 16th October 2019,H Smith ,United Kingdom,5,"AircraftA320
Type Of TravellerBusiness
Seat TypeEconomy Class
RouteLondon to Athens
Date FlownOctober 2019",n
882,"""easily the most cramped space I have ever flown""","  Terrible lack of any leg and body room in economy. This was easily the most cramped space I have ever flown. And I travel a lot. The flight was 7 hours of leg cramps and pain with no room for any modicum of comfort. The little amount of space in economy cabin is disgusting. If the seat in front of you reclines, as they invariably do, there is even less room. Shameful. The food was below average as well, even for bottom of the barrel budget airplane food. I will never fly British Airways again. 0 stars. Beware. I should only add that the NYC JFK and London waiting areas do not have near enough seats requiring many to stand or sit on the floor and the call to plane was disorganized bedlam. Horrible excuse for an airline.", 16th October 2019,Mark Donadio ,United States,1,"AircraftBoeing 777
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteNew York JFK to London
Date FlownOctober 2019",n
883,"""Seats were uncomfortable""","  Buenos Aires to London Heathrow rwturn. The aircraft is very old, cabin configuration is very old and tired. IFE screens have not been changed since they were first installed. My Ipod has a larger and more responsive screen. Before taking off in Buenos Aires, some pax, but not all, were offered water or orange juice. I never got any. After take off, drinks were offered, followed by a hot meal. Food choices ran out in the first row. Seats were uncomfortable, footrests were jammed. On the return flight, sparkling wine and water were offered before take off, followed by drinks and the meal I had chosen online was a beef stew with mashed potatoes. Poor movie choices, miniature screen and uncomfortable seats. Crew OK. No indication as to which toilets to use, either forward in business class or rear economy. Having flown Norwegian on their B787 in their premium cabin on the same route, BA is a waste of my money. ", 15th October 2019,C Jordan ,Argentina,2,"AircraftBoeing 777-200
Type Of TravellerCouple Leisure
Seat TypePremium Economy
RouteBuenos Aires to London Heathrow
Date FlownSeptember 2019",n
884,"""It’s almost like a low cost"""," Mexico City to Barcelona via London Heathrow. The B787 is an incredible plane. The legroom is quite good, the seat is comfortable and the IFE has a great number of movies, series and music. The food is average, the first meal was meat with mashed potatoes, salad and wine. Not very tasty. The breakfast was scrambled eggs with mushrooms, fruit and a muffin, it was delicious! The cabin crew was ok. Not bad, not excellent. We arrived on time and was a great flight. On the second flight the cabin crew appeared twice. No IFE, no onboard service. It’s almost like a low cost. I recommend for long flights, but not for European flights.", 13th October 2019,Luis Casasola ,Mexico,8,"AircraftBoeing 787-9, A320-200
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteMexico City to Barcelona via London Heathrow
Date FlownSeptember 2019",y
885,"""Couldn’t ask for more"""," Great all round. BA2591, 11 October. Good price, easy boarding, lovely cabin crew, great iced coffee on sale. Comfortable, on time and a nice smile from the cabin and flight crew after a windy landing. Couldn’t ask for more (until they reinstate a free drink and sandwich).", 12th October 2019,Alan Thompson ,United Kingdom,9,"AircraftA319
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteBari to London Gatwick
Date FlownSeptember 2019",y
886,"""zero feeling of comfort"""," Flew back from Abu Dhabi in World traveller plus. The seat is so uncomfortable it does not warrant the price tag of the seat, seat cushioning terrible and zero feeling of comfort, I got no sleep. A snack was served after take off which was quite tasty, but breakfast was just dismal, tasteless. Not much interaction with the crew, but they seemed friendly enough. Would not travel with British Airways in this cabin again, really not worth the price tag.", 12th October 2019,D Webb ,United Kingdom,4,"AircraftBoeing 787
Type Of TravellerCouple Leisure
Seat TypePremium Economy
RouteAbu Dhabi to London Heathrow
Date FlownSeptember 2019",n
887,"""they were really good"""," Flew from London Heathrow to Abu Dhabi. Honestly, they were really good, legroom great, crew excellent - looked after us superbly, food and drinks were bang on, did Vegas in April too, nowt wrong with this airline.", 11th October 2019,Stew Oliver ,United Kingdom,9,"AircraftBoeing 787-900
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLondon Heathrow to Abu Dhabi
Date FlownOctober 2019",y
888,"""cancelled and rescheduled""","  Johannesburg to Amsterdam via London. After many delayed departures they announced that the flight was cancelled and rescheduled to depart the following night at 8pm. The following night at 7.30 pm they announced further delays due to the same ""technical"" fault reported 24 hours previously. Finally departed at 10pm, consequences were missed connecting flight to Amsterdam. WE also had to pay for our ""no show"" at our hotel in Amsterdam and when trying to claim this charge from BA they declined but offered to pay for our taxi? Arrived in Amsterdam 30 hours later. What really annoyed us was the lack of communication and disorganized manner on how the events were mishandled. Once on board the crew were really nice and just as we were getting new hope this was shattered by the terrible food and on board entertainment that was outdated. Our connecting BA flight back home was the same thing and on arrival we were delayed on disembarking.", 11th October 2019,Mirco Roberto Rosa ,South Africa,2,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteJohannesburg to Amsterdam via London
Date FlownSeptember 2019",n
889,"""the experience was outstanding"""," Dubai to London Heathrow. I flew on the A350 on one of its first trips and will be flying it again. On the same multi segment trip I tried SQ business class and EK business class (and sadly the old BA business class on an aging B777) on overnight trips. The new ""business suite"" offering from BA is the best business class I have experienced. I am a BA Gold card holder and the experience was outstanding. The First lounge at DXB was very good with plenty of seating and a good choice of drinks. Food choice in the lounge was limited but not an issue. On board the new suite was very comfortable and I had a great nights sleep with the closed door making all the difference to getting a full six hours in. The bed was very comfortable. Food choices were very limited (soup and sandwiches) although this did suit the timing of the flight. I would say this is an excellent very serious business product for night time business travellers. Whether it works for leisure travellers who want to wow rather than sleep or daytime travellers I don't know, but I certainly could work very effectively in my suite. Downside is the IFE is still rubbish in relation to the rest of the product.", 9th October 2019,P Jacobs ,United Kingdom,10,"AircraftA350
Type Of TravellerBusiness
Seat TypeBusiness Class
RouteDubai to London Heathrow
Date FlownSeptember 2019",y
890,"""first and definitely last time""", Istanbul to New York via London. Literally the worst experience. We have tried this airline for the first and definitely last time! They should go through their customer service hiring department from scratch!, 9th October 2019,1 reviews A Allam ,United States,1,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteIstanbul to New York via London
Date FlownOctober 2019",n
891,"""appreciate your excellent service""","  Yesterday my husband and I decided to to come home from Rome earlier than the scheduled time at 8pm. When I rang BA in London, the customer service adviser was helpful and reassuring and able to change the the flight time to 3pm without having to pay extra. Onboard the flight, the steward gave me hot water and milk so that I can used my own preferred decaf tea and did not charge me. While waiting to get off the plane, I had a wonderful conversation with the BA staff who are so pleasant. I love flying with BA and we will continue to do so. We have booked our flight with BA next year. Thank you for taking good care of us and just to sat how much we appreciate your excellent service.", 9th October 2019,P Kan ,United Kingdom,10,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteRome to London Heathrow
Date FlownOctober 2019",y
892,"""one of the worst experiences"""," Flight from London to Athens with British Airways, was one of the worst experiences. The ""new"" slim seats are so uncomfortable you spend the flight and sadly the next day as well in pain. The screens with flight info have gone, no frills, and airline has become a bad quality budget airline. Sad. Avoid.", 9th October 2019,A King ,United Kingdom,1,"AircraftA320
Type Of TravellerBusiness
Seat TypeEconomy Class
RouteLondon to Athens
Date FlownOctober 2019",n
893,"""seats on the flight were comfortable""",  Short 45 minute flight north and south with British Airways. Lounge at LHR and also NCL was busy but there was no shortage of seats. Gates for departures and arrivals were very conveniently placed near the airport exits. The seats on the flight were comfortable and the schedule was perfectly on time., 8th October 2019,D Wheeler ,United Kingdom,8,"AircraftA320
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon Heathrow to Newcastle
Date FlownOctober 2019",y
894,"""seats are incredibly uncomfortable""","  Calgary to Gothenburg via London with British Airways. Staff are very friendly and helpful. Entertainment was good. Food was just ok, although a salmon sandwich as a snack on a full plane wouldn't be my first choice to serve. The seats are incredibly uncomfortable. Super narrow to the point that you sit with your arms crossed so as to not hit your neighbours. For a 9 hour flight this is painful. Paid for the extra leg room which was good but still one of the most uncomfortable long flights have ever been on. Recommend for short trips.", 8th October 2019,R Roosman ,Canada,6,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteCalgary to Gothenburg via London
Date FlownSeptember 2019",y
895,"""such a pleasant experience""","  For a long time I have avoided taking British Airways due to it’s poor past reputation. Yesterday I traveled on BA 34 from Kuala Lumpur to London Heathrow, I boarded the flight with an open mind, over 12 hours later I disembarked feeling very happy because it is always good to see an airline make visible improvements that deliver value to it’s customers. A praise is due and I want to congratulate BA for such a pleasant experience, the flight departed on time and arrived half an hour early, the crew was not only professional but they did everything with a smile that made passengers feel welcomed, the plane was pristine new with delightful entertainment content, the food was way above the expectations of a seasoned economy class traveler. What more can I say? Enough to say that I will be traveling with BA again!", 7th October 2019,Gia Robertson ,Malaysia,10,"AircraftBoeing 787-9
Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteKuala Lumpur to London
Date FlownOctober 2019",y
896,"""Another pleasant flight""","  Austin to London. Another pleasant flight on an ageing 747. After the horror of discovering one of us was allocated a centre seat, meaning effectively sleeping next to a stranger, she kindly swapped seats so we could be together. For a couple the centre seats are really quite nice and you feel you’re in your own little world. A good flight, on time with a nice crew is as good as you can expect.", 6th October 2019,John Prescott ,United Kingdom,8,"AircraftBoeing 747
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteAustin to London
Date FlownOctober 2019",y
897,"""Better than I was expecting""",  London to Kuala Lumpur. Better than I was expecting after reading the other reviews. The seats are great and service was very friendly on this leg (less so on the return). A few areas need improvement: 1) Separate toilets from economy 2) Dedicated crew for the premium economy section rather than added onto their economy service. 3) A better 2nd meal - The main meal was great and noticeably more premium however the next meal (breakfast) was a bit of an afterthought. Would I choose BA premium Eco again : Yes Definitely., 6th October 2019,M Jones ,United Kingdom,7,"AircraftBoeing 787
Type Of TravellerCouple Leisure
Seat TypePremium Economy
RouteLondon to Kuala Lumpur
Date FlownAugust 2019",y
898,"""zero customer service"""," I wish I could give a zero. I was booked on a flight from Newark to Madrid via London. I come to find that the minimum layover time in London is 1 hr. My flight layover in London was 1hr5min. British Airways promised that the arriving and departing terminals in London were the same, but that was a total lie. My wife and I were sprinting across the airport, but between getting off the aeroplane, having to go through security again, and having to get to the other side of the airport for our connection, we missed the layover flight. We had the same route in the reverse direction. I called BA hoping to change the return flights and explained this situation. They kept insisting that since the layover was a staggering 5 minutes more than London’s minimum 1hr layover threshold that they were unable to help in any way. British Airways has by far the worst customer service I have ever experienced. Ryanair which is a no-frills airline has better customer service and that is saying something. I will never be flying BA again and plan on converting my company away from BA flights as well. Be warned. Stay away from this carrier at all costs or be prepared to deal with zero customer service in case any issues arise.", 3rd October 2019,Kirill Grin ,United States,1,"Type Of TravellerCouple Leisure
Seat TypePremium Economy
RouteNewark to Madrid via London
Date FlownOctober 2019",n
899,"""there is no lounge at Kos""",  One of the reasons we traveled club class was because BA have lounges where you can get away from the usual airport chaos and screaming children. BA don’t tell you there is no lounge at Kos airport. Limited seating. Very noisy limited facilities. Not sure I will spend so much on air tickets with them in the future if they don’t warn of limited facilities. It doesn’t help that the flight is delayed by an hour!, 2nd October 2019,Dennis Le Quesne ,United Kingdom,5,"Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteKos to Gatwick
Date FlownOctober 2019",n
900,"""Club Europe had no advantages""","  Gatwick to Alicante. On my outbound flight (23 Sept) I gave BA almost 10 out of 10 across the board in a review they invited me to complete. On my return flight (26 Sept) it was a different matter. From entering Alicante airport up until boarding the service was by comparison below standard (except the VIP lounge which was good). Travelling Club Europe had no advantages. Only one check in open for all passengers, no bag drop facilities, no facility to print boarding passes. When invited to board we had to wait 20 minutes on the ramp before being let on the plane. The Iberia factor. Honestly you wouldn't have thought it was the same company. Once on the plane everything went like clockwork.", 2nd October 2019,Malcolm Kaye ,United Kingdom,4,"AircraftA320
Type Of TravellerBusiness
Seat TypeBusiness Class
RouteGatwick to Alicante
Date FlownSeptember 2019",y
901,"""Very enjoyable flight""","  Vancouver to London. Great flight on the superb A380; in my opinion, the most comfortable and quiet aircraft flying at the moment. Outstanding in flight service from the crew. Attentive, polite and professional; the very best of British Airways service. Food well above average for this cabin - though breakfast could have been better. IFE excellent. The seat is comfortable with a good recline and supplied with a decent, plump cushion and an excellent quilted blanket. Very enjoyable flight. Highly recommended.", 1st October 2019,Christopher Neep ,United Kingdom,9,"AircraftA380
Type Of TravellerSolo Leisure
Seat TypePremium Economy
RouteVancouver to London
Date FlownSeptember 2019",y
902,"""No room to move""",  Gatwick to Alicante. 3.5 hours (1 hour sitting on tarmac) with my knees rammed against seat in front. No room to move. I have travelled on several airlines on this route in last 12 months - Vueling Airlines has best seats! Stay away from the rest unless you are under 5ft tall!, 30th September 2019,David Power ,United Kingdom,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteGatwick to Alicante
Date FlownSeptember 2019",n
903,"""staff wonderful. cheerful, efficient"""," We have had some torrid experiences with BA - which we have not been shy to report. So when we flew yesterday with them from Heathrow to Austin and had a great flight in every way, it felt right to feedback on that. The staff in the upstairs business class cabin were, frankly, wonderful. Cheerful, efficient and calm. What more could you ask? The food was pretty nice and the champagne lovely. The beds were very comfortable and sleeping was easy. I literally cannot think of any real negatives. The luggage lockers were quite small but then it’s an older model of the plane so that probably explains it. If only BA could deliver this kind of experience on every occasion, they would once again be the “world’s favourite airline’. Sadly, the current CEO doesn’t seem able to inspire and motivate his staff to be consistently delightful. Perhaps once he moves on we can expect something better. Although the flight was a bit delayed on departure it arrives bang on time. As we entered the (literally empty) immigration area, we were met by the most charming customs officer you can imagine, who ended up giving us tourist tips and ideas for bars! Surreal, as anyone who regularly travels to the States, will testify! It felt as if we were living in the Truman Show at one point but in the nicest possible way. Get yourselves down to good ole Austin now that BA fly there direct. Fantastic.", 28th September 2019,Rosemary Prescott ,United Kingdom,10,"AircraftBoeing 747
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteLondon Heathrow to Austin
Date FlownSeptember 2019",y
904,"""it was the most enjoyable flight"""," London Heathrow to Austin with British Airways. It was a little bit like going back in time to fly upper deck on a 747 to Austin. But, it was the most enjoyable flight we’ve taken for a long time. It was so quiet on our deck and we had a fantastic flight crew who couldn’t do enough for you, and always with a smile. We arrived as fresh as you can from 10 hours in the air, on time, and thoroughly enjoyed the experience. The only slight issue was the very IFE systems and small overhead lockers. But plenty of spare lockers and our iPads took are of that.", 28th September 2019,P James ,United Kingdom,8,"AircraftBoeing 747
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteLondon Heathrow to Austin
Date FlownSeptember 2019",y
905,"""I never received the refund""","  I did not actually fly because of their pilot strike. This review is because of the poor service to its customers who were due to fly on the days of the strike. I immediately tried to rebook with the only other airline that flew to Jersey, but of course, they had put their air fares up for the day in question and had to pay £110 more for a return flight. I then cancelled my BA flight, but they only refunded £159 of the £187 I had paid. The £28 difference was picking my seats. How do they consider that not part of the cost of the flight? They should have refunded me everything as it was not my fault they were striking. I completed their complaint form a month ago and they have never responded to me. 2 weeks ago I phoned their Customer Service line and the person I spoke to said he would refund me the £28. I never received the refund. ", 27th September 2019,Steve Lyons ,United Kingdom,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLondon Gatwick to Jersey
Date FlownSeptember 2019",n
906,"""not too bad, all in all"""," The start of our journey back from from EFL was inauspicious, with hundreds of delayed and stranded passengers crammed into the departure lounge, awaiting flights on airlines other than BA. As it was, weather in the UK plus air traffic control issues meant that departure was delayed by 90 minutes. Once airborne in a refitted A320 (complete with a nice fresh leather smell!), cabin crew in CE were friendly and efficient, and the food (including a cod dish) was quite reasonable. It was interesting to note that the refit hadn't extended to the toilet which was looking distinctly worse for the wear. A big plus on the flight - and a first for me - was WiFi, which actually worked and was quite fast - although at a cost of £4.99 for an hour's use. I thought it was meant to be free for business class passengers, but evidently not. Landing made up for some time but we were parked right in the middle of nowhere because of a backlog of flights. However, BA had laid on a separate bus for CE passengers and we were out of the airport 30 minutes later. So, not too bad, all in all.", 26th September 2019,31 reviewsDavid Ellis ,United Kingdom,7,"AircraftA320
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteCephalonia to London 
Date FlownSeptember 2019",y
907,"""Delays after delays"""," Chicago to Zurich via London. Delays after delays. The flight was supposed to depart at 8:30 pm (Chicago Time) but was scheduled at 9:40 pm, we waited a long time at the airport. Finally, at 10 pm we managed to board on the A380 for my first time but the legroom was horrible. The IFE completely unfunctional and with no food served. During the taxi, a technical problem occurred and we returned to the gate. In the end, the plane took off at 12 am Chicago time and we arrived in London Heathrow at 2 pm. We had to wait 3 hours for boarding for another 30 minutes delayed flight. We arrived in Zurich on an old A319 at 9:30 pm Zurich time instead of the original 3:30 pm. Very stressful at least the staff were nice.", 26th September 2019,E Olivieri ,Italy,1,"AircraftA380
Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteChicago to Zurich via London
Date FlownAugust 2019",n
908,"""a great flight"""," Glasgow to London. Smooth flight, departure/arrival on time. Boarding was quick, the seat was ok. Although I had pre-ordered a vegetarian option, the caterer hadn't provided any (so they said) - but the flight attendant quickly solved the issue. The food was good, and the wine (french, Bourgogne) also surprisingly good. Flight attendant was professional, polite and attentive to detail. All in all, a great flight.", 23rd September 2019,13 reviewsC Andrews ,Japan,9,"Type Of TravellerSolo Leisure
Seat TypeBusiness Class
RouteGlasgow to London
Date FlownSeptember 2019",y
909,"""the value was very good"""," Having booked this flight a week before the BA strike and mistakingly thinking that the strike would have ended two days before I flew and not in fact the day before, I was apprehensive as to how it would operate. The check-in and security clearance at T5 took only 15 minutes. Personally I do not like the self service bag and tag drop that BA operate as one is not 100% confident that I did everything correctly. Boarding is by the new fare group system (1 to 5) which depends on how much one has paid for the ticket. Again I'm not a fan of this. Possibly due to the previous day's strike and the need to accommodate passengers from canceled flights, the aircraft was a large A321. Boarding was however smooth. On board the virtually full cabin was very clean and the EuroTraveller seats were comfortable and offer sufficient leg room (I'm 1m.79cm and my knees do not touch the seat in front). The departure was only 15 minutes behind the scheduled departure time. In flight there were 3 cabin staff in the Euro Traveller cabin (believe 2 in Club cabin) who were very efficient and friendly and so one only had to wait no more than 30 minutes from take off to purchase refreshments on such a full flight. Again it is a shame though that BA have gone down the no frills line and charge for food and drinks when they describe themselves as a full service airline. The landing at Tegel was 30 minutes ahead of schedule. All in all it was a pleasant flight and the value was very good as it was combined with a hotel booking. Tegel itself is a bit of hassle with only 2 border police carrying out immigration controls for over 200 passengers at the end of the airbridge and a further 30 minute wait for luggage but this was not BA's fault.", 21st September 2019,M Irving ,United Kingdom,9,"AircraftA321
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon Heathrow to Berlin Tegel
Date FlownSeptember 2019",y
910,"""Abysmal customer services""","  I wouldn't even rate them 1/10 2 x business class passengers booked via On Business. 1 bag lost in transit. Ground crew in MXP rude, dismissive & most unhelpful, unable to locate missing bag. Waited for next flight to arrive, still no bag. Decided to cut short our trip as the bag contained essential meds - ok that's a lesson learnt the hard way. Due to this being an OB booking BA customer services unwilling to be flexible and change tickets resulting in full fare tickets purchased to return. Apparently the bag arrived 24hrs later, we were back in the UK, despite BA website showing in transit LHR/MXP for 8 days! Numerous lengthy calls to customer service proved fruitless, passed from one department to another then cut off! After an email to their CEO & Director of Brand and Customer Experience received a call from Global Engagement Executive Team offering £100 e-voucher. Abysmal customer services. No wonder their reputation is in tatters. I will never fly BA again.", 19th September 2019,S Deane ,United Kingdom,1,"Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteLondon to Milan
Date FlownSeptember 2019",n
911,"""no different to a budget airline""", Flying London City to Geneva. The only plus was the Embraer E190 jet had a comfortable interior with plenty of leg room for an economy seat. Other than that BA now offers a basic no frills service that is no different to a budget airline. Yet it charges 'full service' prices!, 19th September 2019,H Shaw ,United Kingdom,3,"AircraftEMB190
Type Of TravellerBusiness
Seat TypeEconomy Class
RouteLondon to Geneva
Date FlownSeptember 2019",n
912,"""wanted to change our departure date""","  Los Angeles to Istanbul via London. Flight between London and Istanbul is like coach, no TV and small leg room. Transatlantic business seats are very narrow and mine did not become a complete bed. Food was below average. The Heathrow BA business lounge was a cramped, tasteless, dirty lounge . It took us 25 min to find two chairs to seat. Food was  awful and service is even worst. When we wanted to change our departure date by a few days we had to pay a penalty of $500 plus fee change, so we ended up paying $800 per person in addition to the fare already paid. ", 18th September 2019,S Hasima ,United States,4,"Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteLos Angeles to Istanbul via London
Date FlownSeptember 2019",n
913,"""a nightmare""", Phoenix to Tel Aviv via London. The return from London to Phoenix was a nightmare. I want everyone to know that I sent a complaint 3 times but there is no one to talk to. This is not something that I am used to., 17th September 2019,Orna Kaplan ,United States,5,"Type Of TravellerFamily Leisure
Seat TypePremium Economy
RoutePhoenix to Tel Aviv via London
Date FlownAugust 2019",n
914,"""lacklustre at best""","  London to Kefalonia . The T5 Galleries lounge is showing its age and was packed at 9:30 on a Saturday. Boarding was by the now standard groups, which meant waiting 15 minutes in a queue and then 10 minutes on the bridge. The flight deck then informed us that we’d be waiting on a stand for 1 hr 20 minutes before our departure slot. Once in the air, cabin crew delivered the usual Club Europe experience, which was mediocre at best. Fortunately, arrival was only 45 minutes late and we were out of Kefalonia airport 30 minutes later. Overall, a typical BA experience that’s lacklustre at best.", 16th September 2019,31 reviewsDavid Ellis ,United Kingdom,5,"AircraftA320
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteLondon to Kefalonia 
Date FlownSeptember 2019",n
915,"""don’t know which airline is at fault""","  London to Dublin. It was never my choice to fly with British Airways and I will never fly with them again. I was supposed to fly with American Airlines from the USA to Dublin, but I had a connecting flight from my origin city to Chicago. Unfortunately, my first flight was delayed due to weather, which caused me to miss the flight from Chicago to Dublin. I was put on a flight to London instead, which I had to run for when I finally made it to Chicago, and my bag did not make it on the flight. I then flew with British Airways from London to Dublin. I was told to file a lost baggage claim with BA, which I did. I was told that the bag would be transferred from American to BA when it arrived in Dublin. Using American’s baggage tracking system, I was able to confirm that the bag arrived the day after I did around noon on Saturday. I am writing this review on the following Sunday and the bag is still not in my possession. BA’s customer service is terrible. If someone there tells me one more time to just wait and be patient, I am going to lose it! My bag has been sitting at the airport in the same city I’m in for more than a day and I can’t get it. Talk about serious frustration. I don’t know which airline is at fault for the delay, but the difference is that when I called American, the rep did everything she could to find out the status of my bag. And even though their baggage claim desk was closed when I called, she still tried to call an internal number to see if anyone was still around. Unfortunately she couldn’t get hold of anyone, but she left them a message and told me exactly who I could call and when to call them the next morning. I did not receive that level of service from BA. I even asked if they could call the airport and was told, “we are not authorized to call airports.” Why in the world wouldn’t they be authorized to call their own baggage department? I am not thrilled with either airline, but at least American has made some attempt to help me. This has ruined the first three days of a trip that I planned for two years. If you do check a bag and it’s lost or delayed, don’t expect any help if you flew with BA. And here’s a tip: if you are dealing with a lost or delayed bag in a country you don’t live in, don’t call the generic customer service number on the website you would normally use. Dig around and see if you can find a number for the airport you flew into. You will get a lot more information and assistance that way. ", 16th September 2019,K Thayne ,United States,1,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon to Dublin
Date FlownSeptember 2019",n
